Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,18.75,18.75,18.75,18.75,000,18.75
2014-11-13,18.75,18.75,18.75,18.75,000,18.75
2014-11-12,18.74,18.74,18.74,18.74,000,18.74
2014-11-11,18.73,18.73,18.73,18.73,000,18.73
2014-11-10,18.72,18.72,18.72,18.72,000,18.72
2014-11-07,18.68,18.68,18.68,18.68,000,18.68
2014-11-06,18.67,18.67,18.67,18.67,000,18.67
2014-11-05,18.64,18.64,18.64,18.64,000,18.64
2014-11-04,18.52,18.52,18.52,18.52,000,18.52
2014-11-03,18.56,18.56,18.56,18.56,000,18.56
2014-10-31,18.56,18.56,18.56,18.56,000,18.56
2014-10-30,18.37,18.37,18.37,18.37,000,18.37
2014-10-29,18.28,18.28,18.28,18.28,000,18.28
2014-10-28,18.27,18.27,18.27,18.27,000,18.27
2014-10-27,18.07,18.07,18.07,18.07,000,18.07
2014-10-24,18.09,18.09,18.09,18.09,000,18.09
2014-10-23,17.94,17.94,17.94,17.94,000,17.94
2014-10-22,17.73,17.73,17.73,17.73,000,17.73
2014-10-21,17.86,17.86,17.86,17.86,000,17.86
2014-10-20,17.51,17.51,17.51,17.51,000,17.51
2014-10-17,17.34,17.34,17.34,17.34,000,17.34
2014-10-16,17.11,17.11,17.11,17.11,000,17.11
2014-10-15,17.10,17.10,17.10,17.10,000,17.10
2014-10-14,17.29,17.29,17.29,17.29,000,17.29
2014-10-13,17.25,17.25,17.25,17.25,000,17.25
2014-10-10,17.57,17.57,17.57,17.57,000,17.57
2014-10-09,17.81,17.81,17.81,17.81,000,17.81
2014-10-08,18.19,18.19,18.19,18.19,000,18.19
2014-10-07,17.88,17.88,17.88,17.88,000,17.88
2014-10-06,18.14,18.14,18.14,18.14,000,18.14
2014-10-03,18.18,18.18,18.18,18.18,000,18.18
2014-10-02,18.00,18.00,18.00,18.00,000,18.00
2014-10-01,17.99,17.99,17.99,17.99,000,17.99
2014-09-30,18.23,18.23,18.23,18.23,000,18.23
2014-09-29,18.30,18.30,18.30,18.30,000,18.30
2014-09-26,18.37,18.37,18.37,18.37,000,18.37
2014-09-25,18.18,18.18,18.18,18.18,000,18.18
2014-09-24,18.48,18.48,18.48,18.48,000,18.48
2014-09-23,18.34,18.34,18.34,18.34,000,18.34
2014-09-22,18.46,18.46,18.46,18.46,000,18.46
2014-09-19,18.61,18.61,18.61,18.61,000,18.61
2014-09-18,18.66,18.66,18.66,18.66,000,18.66
2014-09-17,18.59,18.59,18.59,18.59,000,18.59
2014-09-16,18.57,18.57,18.57,18.57,000,18.57
2014-09-15,18.46,18.46,18.46,18.46,000,18.46
2014-09-12,18.45,18.45,18.45,18.45,000,18.45
2014-09-11,18.59,18.59,18.59,18.59,000,18.59
2014-09-10,18.56,18.56,18.56,18.56,000,18.56
2014-09-09,18.51,18.51,18.51,18.51,000,18.51
2014-09-08,18.61,18.61,18.61,18.61,000,18.61
2014-09-05,18.66,18.66,18.66,18.66,000,18.66
2014-09-04,18.57,18.57,18.57,18.57,000,18.57
2014-09-03,18.61,18.61,18.61,18.61,000,18.61
2014-09-02,18.63,18.63,18.63,18.63,000,18.63
2014-08-29,18.66,18.66,18.66,18.66,000,18.66
2014-08-28,18.59,18.59,18.59,18.59,000,18.59
2014-08-27,18.62,18.62,18.62,18.62,000,18.62
2014-08-26,18.61,18.61,18.61,18.61,000,18.61
2014-08-25,18.60,18.60,18.60,18.60,000,18.60
2014-08-22,18.49,18.49,18.49,18.49,000,18.49
2014-08-21,18.53,18.53,18.53,18.53,000,18.53
2014-08-20,18.49,18.49,18.49,18.49,000,18.49
2014-08-19,18.43,18.43,18.43,18.43,000,18.43
2014-08-18,18.32,18.32,18.32,18.32,000,18.32
2014-08-15,18.18,18.18,18.18,18.18,000,18.18
2014-08-14,18.16,18.16,18.16,18.16,000,18.16
2014-08-13,18.09,18.09,18.09,18.09,000,18.09
2014-08-12,17.99,17.99,17.99,17.99,000,17.99
2014-08-11,18.01,18.01,18.01,18.01,000,18.01
2014-08-08,17.93,17.93,17.93,17.93,000,17.93
2014-08-07,17.73,17.73,17.73,17.73,000,17.73
2014-08-06,17.82,17.82,17.82,17.82,000,17.82
2014-08-05,17.80,17.80,17.80,17.80,000,17.80
2014-08-04,17.94,17.94,17.94,17.94,000,17.94
2014-08-01,17.82,17.82,17.82,17.82,000,17.82
2014-07-31,17.88,17.88,17.88,17.88,000,17.88
2014-07-30,18.24,18.24,18.24,18.24,000,18.24
2014-07-29,18.24,18.24,18.24,18.24,000,18.24
2014-07-28,18.30,18.30,18.30,18.30,000,18.30
2014-07-25,18.30,18.30,18.30,18.30,000,18.30
2014-07-24,18.39,18.39,18.39,18.39,000,18.39
2014-07-23,18.39,18.39,18.39,18.39,000,18.39
2014-07-22,18.39,18.39,18.39,18.39,000,18.39
2014-07-21,18.28,18.28,18.28,18.28,000,18.28
2014-07-18,18.31,18.31,18.31,18.31,000,18.31
2014-07-17,18.15,18.15,18.15,18.15,000,18.15
2014-07-16,18.35,18.35,18.35,18.35,000,18.35
2014-07-15,18.27,18.27,18.27,18.27,000,18.27
2014-07-14,18.29,18.29,18.29,18.29,000,18.29
2014-07-11,18.22,18.22,18.22,18.22,000,18.22
2014-07-10,18.20,18.20,18.20,18.20,000,18.20
2014-07-09,18.28,18.28,18.28,18.28,000,18.28
2014-07-08,18.20,18.20,18.20,18.20,000,18.20
2014-07-07,18.29,18.29,18.29,18.29,000,18.29
2014-07-03,18.34,18.34,18.34,18.34,000,18.34
2014-07-02,18.25,18.25,18.25,18.25,000,18.25
2014-07-01,18.25,18.25,18.25,18.25,000,18.25
2014-06-30,18.30,18.30,18.30,18.30,000,18.15
2014-06-27,18.27,18.27,18.27,18.27,000,18.12
2014-06-26,18.21,18.21,18.21,18.21,000,18.06
2014-06-25,18.24,18.24,18.24,18.24,000,18.09
2014-06-24,18.16,18.16,18.16,18.16,000,18.01
2014-06-23,18.30,18.30,18.30,18.30,000,18.15
2014-06-20,18.32,18.32,18.32,18.32,000,18.17
2014-06-19,18.26,18.26,18.26,18.26,000,18.11
2014-06-18,18.22,18.22,18.22,18.22,000,18.07
2014-06-17,18.10,18.10,18.10,18.10,000,17.95
2014-06-16,18.08,18.08,18.08,18.08,000,17.93
2014-06-13,18.08,18.08,18.08,18.08,000,17.93
2014-06-12,18.02,18.02,18.02,18.02,000,17.87
2014-06-11,18.14,18.14,18.14,18.14,000,17.99
2014-06-10,18.21,18.21,18.21,18.21,000,18.06
2014-06-09,18.20,18.20,18.20,18.20,000,18.05
2014-06-06,18.16,18.16,18.16,18.16,000,18.01
2014-06-05,18.05,18.05,18.05,18.05,000,17.90
2014-06-04,17.95,17.95,17.95,17.95,000,17.80
2014-06-03,17.90,17.90,17.90,17.90,000,17.75
2014-06-02,17.87,17.87,17.87,17.87,000,17.72
2014-05-30,17.85,17.85,17.85,17.85,000,17.70
2014-05-29,17.82,17.82,17.82,17.82,000,17.67
2014-05-28,17.71,17.71,17.71,17.71,000,17.56
2014-05-27,17.73,17.73,17.73,17.73,000,17.58
2014-05-23,17.62,17.62,17.62,17.62,000,17.47
2014-05-22,17.55,17.55,17.55,17.55,000,17.40
