Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,47.98,47.98,47.98,47.98,000,47.98
2014-11-13,47.80,47.80,47.80,47.80,000,47.80
2014-11-12,47.69,47.69,47.69,47.69,000,47.69
2014-11-11,47.88,47.88,47.88,47.88,000,47.88
2014-11-10,47.64,47.64,47.64,47.64,000,47.64
2014-11-07,47.45,47.45,47.45,47.45,000,47.45
2014-11-06,47.54,47.54,47.54,47.54,000,47.54
2014-11-05,47.75,47.75,47.75,47.75,000,47.75
2014-11-04,47.68,47.68,47.68,47.68,000,47.68
2014-11-03,47.55,47.55,47.55,47.55,000,47.55
2014-10-31,47.88,47.88,47.88,47.88,000,47.88
2014-10-30,47.40,47.40,47.40,47.40,000,47.40
2014-10-29,46.94,46.94,46.94,46.94,000,46.94
2014-10-28,47.15,47.15,47.15,47.15,000,47.15
2014-10-27,46.64,46.64,46.64,46.64,000,46.64
2014-10-24,46.81,46.81,46.81,46.81,000,46.81
2014-10-23,46.69,46.69,46.69,46.69,000,46.69
2014-10-22,46.36,46.36,46.36,46.36,000,46.36
2014-10-21,46.55,46.55,46.55,46.55,000,46.55
2014-10-20,46.02,46.02,46.02,46.02,000,46.02
2014-10-17,45.49,45.49,45.49,45.49,000,45.49
2014-10-16,44.93,44.93,44.93,44.93,000,44.93
2014-10-15,45.20,45.20,45.20,45.20,000,45.20
2014-10-14,45.52,45.52,45.52,45.52,000,45.52
2014-10-13,45.27,45.27,45.27,45.27,000,45.27
2014-10-10,45.33,45.33,45.33,45.33,000,45.33
2014-10-09,46.09,46.09,46.09,46.09,000,46.09
2014-10-08,46.93,46.93,46.93,46.93,000,46.93
2014-10-07,46.56,46.56,46.56,46.56,000,46.56
2014-10-06,47.17,47.17,47.17,47.17,000,47.17
2014-10-03,46.91,46.91,46.91,46.91,000,46.91
2014-10-02,46.70,46.70,46.70,46.70,000,46.70
2014-10-01,47.10,47.10,47.10,47.10,000,47.10
2014-09-30,47.72,47.72,47.72,47.72,000,47.72
2014-09-29,47.86,47.86,47.86,47.86,000,47.86
2014-09-26,48.23,48.23,48.23,48.23,000,48.23
2014-09-25,47.94,47.94,47.94,47.94,000,47.94
2014-09-24,48.57,48.57,48.57,48.57,000,48.57
2014-09-23,48.35,48.35,48.35,48.35,000,48.35
2014-09-22,48.75,48.75,48.75,48.75,000,48.75
2014-09-19,49.13,49.13,49.13,49.13,000,49.13
2014-09-18,49.25,49.25,49.25,49.25,000,49.25
2014-09-17,48.77,48.77,48.77,48.77,000,48.77
2014-09-16,48.94,48.94,48.94,48.94,000,48.94
2014-09-15,48.93,48.93,48.93,48.93,000,48.93
2014-09-12,49.09,49.09,49.09,49.09,000,49.09
2014-09-11,49.10,49.10,49.10,49.10,000,49.10
2014-09-10,49.17,49.17,49.17,49.17,000,49.17
2014-09-09,49.11,49.11,49.11,49.11,000,49.11
2014-09-08,49.22,49.22,49.22,49.22,000,49.22
2014-09-05,49.45,49.45,49.45,49.45,000,49.45
2014-09-04,49.61,49.61,49.61,49.61,000,49.61
2014-09-03,49.71,49.71,49.71,49.71,000,49.71
2014-09-02,49.30,49.30,49.30,49.30,000,49.30
2014-08-29,49.16,49.16,49.16,49.16,000,49.16
2014-08-28,49.18,49.18,49.18,49.18,000,49.18
2014-08-27,49.51,49.51,49.51,49.51,000,49.51
2014-08-26,49.34,49.34,49.34,49.34,000,49.34
2014-08-25,49.20,49.20,49.20,49.20,000,49.20
2014-08-22,49.04,49.04,49.04,49.04,000,49.04
2014-08-21,49.15,49.15,49.15,49.15,000,49.15
2014-08-20,49.01,49.01,49.01,49.01,000,49.01
2014-08-19,49.09,49.09,49.09,49.09,000,49.09
2014-08-18,48.94,48.94,48.94,48.94,000,48.94
2014-08-15,48.55,48.55,48.55,48.55,000,48.55
2014-08-14,48.57,48.57,48.57,48.57,000,48.57
2014-08-13,48.46,48.46,48.46,48.46,000,48.46
2014-08-12,48.20,48.20,48.20,48.20,000,48.20
2014-08-11,48.15,48.15,48.15,48.15,000,48.15
2014-08-08,47.86,47.86,47.86,47.86,000,47.86
2014-08-07,47.73,47.73,47.73,47.73,000,47.73
2014-08-06,48.07,48.07,48.07,48.07,000,48.07
2014-08-05,48.32,48.32,48.32,48.32,000,48.32
2014-08-04,48.69,48.69,48.69,48.69,000,48.69
2014-08-01,48.58,48.58,48.58,48.58,000,48.58
2014-07-31,48.83,48.83,48.83,48.83,000,48.83
2014-07-30,49.62,49.62,49.62,49.62,000,49.62
2014-07-29,49.54,49.54,49.54,49.54,000,49.54
2014-07-28,49.57,49.57,49.57,49.57,000,49.57
2014-07-25,49.61,49.61,49.61,49.61,000,49.61
2014-07-24,49.71,49.71,49.71,49.71,000,49.71
2014-07-23,49.63,49.63,49.63,49.63,000,49.63
2014-07-22,49.53,49.53,49.53,49.53,000,49.53
2014-07-21,49.15,49.15,49.15,49.15,000,49.15
2014-07-18,49.42,49.42,49.42,49.42,000,49.42
2014-07-17,49.20,49.20,49.20,49.20,000,49.20
2014-07-16,49.70,49.70,49.70,49.70,000,49.70
2014-07-15,49.39,49.39,49.39,49.39,000,49.39
2014-07-14,49.46,49.46,49.46,49.46,000,49.46
2014-07-11,49.16,49.16,49.16,49.16,000,49.16
2014-07-10,49.27,49.27,49.27,49.27,000,49.27
2014-07-09,49.69,49.69,49.69,49.69,000,49.69
2014-07-08,49.70,49.70,49.70,49.70,000,49.70
2014-07-07,50.28,50.28,50.28,50.28,000,50.28
2014-07-03,50.61,50.61,50.61,50.61,000,50.61
2014-07-02,50.42,50.42,50.42,50.42,000,50.42
2014-07-01,50.25,50.25,50.25,50.25,000,50.25
2014-06-30,49.86,49.86,49.86,49.86,000,49.86
2014-06-27,49.80,49.80,49.80,49.80,000,49.80
2014-06-26,49.62,49.62,49.62,49.62,000,49.62
2014-06-25,49.67,49.67,49.67,49.67,000,49.67
2014-06-24,49.71,49.71,49.71,49.71,000,49.71
2014-06-23,49.82,49.82,49.82,49.82,000,49.82
2014-06-20,49.96,49.96,49.96,49.96,000,49.96
2014-06-19,50.05,50.05,50.05,50.05,000,50.05
2014-06-18,50.04,50.04,50.04,50.04,000,50.04
2014-06-17,49.76,49.76,49.76,49.76,000,49.76
2014-06-16,49.75,49.75,49.75,49.75,000,49.75
2014-06-13,49.84,49.84,49.84,49.84,000,49.84
2014-06-12,49.94,49.94,49.94,49.94,000,49.94
2014-06-11,50.00,50.00,50.00,50.00,000,50.00
2014-06-10,50.16,50.16,50.16,50.16,000,50.16
2014-06-09,50.06,50.06,50.06,50.06,000,50.06
2014-06-06,50.02,50.02,50.02,50.02,000,50.02
2014-06-05,49.92,49.92,49.92,49.92,000,49.92
2014-06-04,49.65,49.65,49.65,49.65,000,49.65
2014-06-03,49.60,49.60,49.60,49.60,000,49.60
2014-06-02,49.57,49.57,49.57,49.57,000,49.57
2014-05-30,49.41,49.41,49.41,49.41,000,49.41
2014-05-29,49.42,49.42,49.42,49.42,000,49.42
2014-05-28,49.40,49.40,49.40,49.40,000,49.40
2014-05-27,49.47,49.47,49.47,49.47,000,49.47
2014-05-23,49.22,49.22,49.22,49.22,000,49.22
2014-05-22,49.05,49.05,49.05,49.05,000,49.05
2014-05-21,48.98,48.98,48.98,48.98,000,48.98
2014-05-20,48.57,48.57,48.57,48.57,000,48.57
2014-05-19,48.73,48.73,48.73,48.73,000,48.73
2014-05-16,48.52,48.52,48.52,48.52,000,48.52
2014-05-15,48.50,48.50,48.50,48.50,000,48.50
2014-05-14,48.75,48.75,48.75,48.75,000,48.75
2014-05-13,48.81,48.81,48.81,48.81,000,48.81
2014-05-12,48.77,48.77,48.77,48.77,000,48.77
2014-05-09,48.25,48.25,48.25,48.25,000,48.25
2014-05-08,48.28,48.28,48.28,48.28,000,48.28
2014-05-07,48.11,48.11,48.11,48.11,000,48.11
2014-05-06,48.33,48.33,48.33,48.33,000,48.33
2014-05-05,48.48,48.48,48.48,48.48,000,48.48
2014-05-02,48.60,48.60,48.60,48.60,000,48.60
2014-05-01,48.54,48.54,48.54,48.54,000,48.54
2014-04-30,48.37,48.37,48.37,48.37,000,48.37
2014-04-29,48.23,48.23,48.23,48.23,000,48.23
2014-04-28,47.95,47.95,47.95,47.95,000,47.95
2014-04-25,48.02,48.02,48.02,48.02,000,48.02
2014-04-24,48.43,48.43,48.43,48.43,000,48.43
2014-04-23,48.49,48.49,48.49,48.49,000,48.49
2014-04-22,48.58,48.58,48.58,48.58,000,48.58
2014-04-21,48.13,48.13,48.13,48.13,000,48.13
2014-04-17,48.08,48.08,48.08,48.08,000,48.08
2014-04-16,47.95,47.95,47.95,47.95,000,47.95
2014-04-15,47.37,47.37,47.37,47.37,000,47.37
2014-04-14,47.58,47.58,47.58,47.58,000,47.58
2014-04-11,47.51,47.51,47.51,47.51,000,47.51
2014-04-10,47.94,47.94,47.94,47.94,000,47.94
2014-04-09,48.66,48.66,48.66,48.66,000,48.66
2014-04-08,48.04,48.04,48.04,48.04,000,48.04
2014-04-07,48.08,48.08,48.08,48.08,000,48.08
2014-04-04,48.50,48.50,48.50,48.50,000,48.50
2014-04-03,48.83,48.83,48.83,48.83,000,48.83
2014-04-02,48.90,48.90,48.90,48.90,000,48.90
2014-04-01,48.93,48.93,48.93,48.93,000,48.93
2014-03-31,48.48,48.48,48.48,48.48,000,48.48
2014-03-28,48.13,48.13,48.13,48.13,000,48.13
2014-03-27,47.79,47.79,47.79,47.79,000,47.79
2014-03-26,47.63,47.63,47.63,47.63,000,47.63
2014-03-25,47.56,47.56,47.56,47.56,000,47.56
2014-03-24,47.36,47.36,47.36,47.36,000,47.36
2014-03-21,47.28,47.28,47.28,47.28,000,47.28
2014-03-20,47.39,47.39,47.39,47.39,000,47.39
2014-03-19,47.50,47.50,47.50,47.50,000,47.50
2014-03-18,47.96,47.96,47.96,47.96,000,47.96
2014-03-17,47.60,47.60,47.60,47.60,000,47.60
